,YogaPoses,ImageNumbers,label of class_6,label of class_20,label of class_82,_merge
5935,Low_Lunge_pose_or_Anjaneyasana_,382.jpg,0,2,40,both
8369,Staff_Pose_or_Dandasana_,0_110.jpg,1,4,59,both
1921,Cockerel_Pose,4_73.jpg,2,9,11,both
1282,Chair_Pose_or_Utkatasana_,499.jpg,0,0,8,both
12358,Plank_Pose_or_Kumbhakasana_,56.jpg,4,16,44,both
12886,Supta_Virasana_Vajrasana,3_122.jpg,4,13,66,both
14588,Split pose,3_73.jpg,1,6,58,both
8855,Supported_Headstand_pose_or_Salamba_Sirsasana_,577.jpg,3,11,63,both
970,Cat_Cow_Pose_or_Marjaryasana_,2_169.jpg,5,18,7,both
9655,Tree_Pose_or_Vrksasana_,0_398.jpg,0,0,68,both
2821,Eagle_Pose_or_Garudasana_,387.jpg,0,0,18,both
8997,Supported_Headstand_pose_or_Salamba_Sirsasana_,260.jpg,3,11,63,both
4152,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana_,358.jpg,4,16,26,both
5479,Locust_Pose_or_Salabhasana_,347.jpg,4,14,38,both
3824,Firefly_Pose_or_Tittibhasana_,67.jpg,2,9,24,both
7502,Side_Plank_Pose_or_Vasisthasana_,231.jpg,4,15,56,both
14308,Rajakapotasana,502.jpg,1,8,47,both
5236,Heron_Pose_or_Krounchasana_,2_0_132.jpg,1,8,35,both
3453,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_346.jpg,0,2,22,both
11722,Crane_(Crow)_Pose_or_Bakasana_,1_399.jpg,2,9,14,both
1526,Child_Pose_or_Balasana_,16.jpg,4,14,9,both
13306,Bow_Pose_or_Dhanurasana_,51.jpg,5,19,4,both
12365,Plow_Pose_or_Halasana_,124.jpg,3,12,45,both
15078,Wide-Legged_Forward_Bend_pose_or_Prasarita_Padottanasana_,284.jpg,0,1,77,both
140,Boat_Pose_or_Paripurna_Navasana_,442.jpg,5,19,2,both
3861,Firefly_Pose_or_Tittibhasana_,50.jpg,2,9,24,both
4027,Fish_Pose_or_Matsyasana_,13.jpg,4,13,25,both
10344,Warrior_III_Pose_or_Virabhadrasana_III_,534.jpg,0,3,73,both
1113,Cat_Cow_Pose_or_Marjaryasana_,2_293.jpg,5,18,7,both
5613,Lord_of_the_Dance_Pose_or_Natarajasana_,294.jpg,0,3,39,both
11053,Wild_Thing_pose_or_Camatkarasana_,19.jpg,5,17,78,both
6450,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II,1_64.jpg,2,10,46,both
9033,Supported_Headstand_pose_or_Salamba_Sirsasana_,0_550.jpg,3,11,63,both
10747,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana_,2_252.jpg,1,6,76,both
10694,Warrior_I_Pose_or_Virabhadrasana_I_,1_112.jpg,0,2,75,both
10250,Virasana_or_Vajrasana,2_454.jpg,1,5,72,both
10624,Warrior_I_Pose_or_Virabhadrasana_I_,1_97.jpg,0,2,75,both
1783,Cobra_Pose_or_Bhujangasana_,3_431.jpg,4,14,10,both
4769,Half_Moon_Pose_or_Ardha_Chandrasana_,460.jpg,0,2,31,both
12901,Tortoise_Pose,2_22.jpg,1,7,67,both
1697,Cobra_Pose_or_Bhujangasana_,3_369.jpg,4,14,10,both
6449,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II,2_114.jpg,2,10,46,both
4669,Half_Moon_Pose_or_Ardha_Chandrasana_,492.jpg,0,2,31,both
5890,Low_Lunge_pose_or_Anjaneyasana_,426.jpg,0,2,40,both
700,Bridge_Pose_or_Setu_Bandha_Sarvangasana_,531.jpg,5,17,5,both
3817,Firefly_Pose_or_Tittibhasana_,54.jpg,2,9,24,both
13366,Camel_Pose_or_Ustrasana_,69.jpg,5,17,6,both
6562,Rajakapotasana,0_470.jpg,1,8,47,both
10031,Upward_Plank_Pose_or_Purvottanasana_,38.jpg,5,17,71,both
2948,Eight-Angle_Pose_or_Astavakrasana_,205.jpg,2,10,19,both
14362,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana_,1_45.jpg,1,7,49,both
9785,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana_,363.jpg,5,17,69,both
11920,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_173.jpg,0,2,22,both
14150,Locust_Pose_or_Salabhasana_,62.jpg,4,14,38,both
10131,Virasana_or_Vajrasana,1_139.jpg,1,5,72,both
823,Camel_Pose_or_Ustrasana_,429.jpg,5,17,6,both
39,Akarna_Dhanurasana,58.jpg,1,8,0,both
14967,Virasana_or_Vajrasana,1_68.jpg,1,5,72,both
5804,Lord_of_the_Dance_Pose_or_Natarajasana_,398.jpg,0,3,39,both
13372,Camel_Pose_or_Ustrasana_,309.jpg,5,17,6,both
9915,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana_,606.jpg,5,17,69,both
5093,Head-to-Knee_Forward_Bend_pose_or_Janu_Sirsasana_,1_115.jpg,1,7,34,both
11033,Wild_Thing_pose_or_Camatkarasana_,124.jpg,5,17,78,both
1,Akarna_Dhanurasana,121.jpg,1,8,0,both
1016,Cat_Cow_Pose_or_Marjaryasana_,2_0_12.jpg,5,18,7,both
11540,Child_Pose_or_Balasana_,347.jpg,4,14,9,both
10211,Virasana_or_Vajrasana,1_289.jpg,1,5,72,both
7953,Sitting pose 1 (normal),3_107.jpg,1,4,57,both
9081,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana_,2_326.jpg,3,11,64,both
3201,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,3_46.jpg,0,2,21,both
3554,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_351.jpg,0,2,22,both
3543,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,2_0_70.jpg,0,2,22,both
10813,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana_,2_73.jpg,1,6,76,both
15129,Wind_Relieving_pose_or_Pawanmuktasana,246.jpg,4,13,79,both
4264,Frog_Pose_or_Bhekasana,1_47.jpg,4,14,27,both
6784,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana_,1_0_138.jpg,1,7,49,both
7432,Side_Crane_(Crow)_Pose_or_Parsva_Bakasana_,2_0_33.jpg,2,10,55,both
1234,Chair_Pose_or_Utkatasana_,0_393.jpg,0,0,8,both
7650,Side_Plank_Pose_or_Vasisthasana_,354.jpg,4,15,56,both
13636,Crane_(Crow)_Pose_or_Bakasana_,1_418.jpg,2,9,14,both
6743,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana_,2_412.jpg,1,7,49,both
13820,Feathered_Peacock_Pose_or_Pincha_Mayurasana_,1_300.jpg,3,11,23,both
8493,Standing_Forward_Bend_pose_or_Uttanasana_,1_369.jpg,0,1,60,both
10558,Warrior_II_Pose_or_Virabhadrasana_II_,479.jpg,0,3,74,both
871,Camel_Pose_or_Ustrasana_,44.jpg,5,17,6,both
11788,Eagle_Pose_or_Garudasana_,84.jpg,0,0,18,both
5896,Low_Lunge_pose_or_Anjaneyasana_,463.jpg,0,2,40,both
5159,Heron_Pose_or_Krounchasana_,2_154.jpg,1,8,35,both
10099,Upward_Plank_Pose_or_Purvottanasana_,487.jpg,5,17,71,both
12143,Handstand_pose_or_Adho_Mukha_Vrksasana_,120.jpg,3,11,32,both
10752,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana_,2_369.jpg,1,6,76,both
8957,Supported_Headstand_pose_or_Salamba_Sirsasana_,248.jpg,3,11,63,both
1932,Cockerel_Pose,2_51.jpg,2,9,11,both
1772,Cobra_Pose_or_Bhujangasana_,2_314.jpg,4,14,10,both
14733,Supported_Headstand_pose_or_Salamba_Sirsasana_,176.jpg,3,11,63,both
13270,Boat_Pose_or_Paripurna_Navasana_,515.jpg,5,19,2,both
3263,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_594.jpg,0,2,21,both
12881,Supta_Virasana_Vajrasana,3_128.jpg,4,13,66,both
3602,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_353.jpg,0,2,22,both
7347,Side-Reclining_Leg_Lift_pose_or_Anantasana_,162.jpg,4,15,54,both
10058,Upward_Plank_Pose_or_Purvottanasana_,10.jpg,5,17,71,both
1980,Corpse_Pose_or_Savasana_,508.jpg,4,13,12,both
1503,Child_Pose_or_Balasana_,500.jpg,4,14,9,both
1990,Corpse_Pose_or_Savasana_,152.jpg,4,13,12,both
6221,Plow_Pose_or_Halasana_,347.jpg,3,12,45,both
6087,Peacock_Pose_or_Mayurasana_,332.jpg,4,16,42,both
784,Camel_Pose_or_Ustrasana_,420.jpg,5,17,6,both
10619,Warrior_I_Pose_or_Virabhadrasana_I_,1_255.jpg,0,2,75,both
14658,Standing_Forward_Bend_pose_or_Uttanasana_,2_295.jpg,0,1,60,both
637,Bridge_Pose_or_Setu_Bandha_Sarvangasana_,666.jpg,5,17,5,both
868,Camel_Pose_or_Ustrasana_,299.jpg,5,17,6,both
13533,Cobra_Pose_or_Bhujangasana_,2_535.jpg,4,14,10,both
14600,Split pose,3_484.jpg,1,6,58,both
8135,Sitting pose 1 (normal),3_0_229.jpg,1,4,57,both
7715,Sitting pose 1 (normal),3_0_473.jpg,1,4,57,both
4223,Frog_Pose_or_Bhekasana,2_35.jpg,4,14,27,both
5309,Intense_Side_Stretch_Pose_or_Parsvottanasana_,77.jpg,0,1,36,both
466,Bow_Pose_or_Dhanurasana_,375.jpg,5,19,4,both
14791,Supta_Baddha_Konasana_,1_494.jpg,4,13,65,both
55,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,254.jpg,1,5,1,both
7111,Seated_Forward_Bend_pose_or_Paschimottanasana_,119.jpg,1,7,52,both
298,Bound_Angle_Pose_or_Baddha_Konasana_,1_358.jpg,1,4,3,both
10488,Warrior_II_Pose_or_Virabhadrasana_II_,567.jpg,0,3,74,both
1088,Cat_Cow_Pose_or_Marjaryasana_,2_373.jpg,5,18,7,both
1567,Cobra_Pose_or_Bhujangasana_,1_535.jpg,4,14,10,both
7532,Side_Plank_Pose_or_Vasisthasana_,321.jpg,4,15,56,both
7730,Sitting pose 1 (normal),1_310.jpg,1,4,57,both
12643,Sitting pose 1 (normal),1_132.jpg,1,4,57,both
3961,Fish_Pose_or_Matsyasana_,337.jpg,4,13,25,both
8293,Split pose,2_458.jpg,1,6,58,both
12755,Standing_Split_pose_or_Urdhva_Prasarita_Eka_Padasana_,1_104.jpg,0,3,61,both
14914,Upward_Plank_Pose_or_Purvottanasana_,19.jpg,5,17,71,both
1883,Cockerel_Pose,4_197.jpg,2,9,11,both
6765,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana_,1_205.jpg,1,7,49,both
6981,Scorpion_pose_or_vrischikasana,1_231.jpg,3,12,51,both
2661,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana_,446.jpg,0,1,17,both
14462,Side_Crane_(Crow)_Pose_or_Parsva_Bakasana_,2_158.jpg,2,10,55,both
1508,Child_Pose_or_Balasana_,58.jpg,4,14,9,both
3628,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_0_475.jpg,0,2,22,both
887,Camel_Pose_or_Ustrasana_,125.jpg,5,17,6,both
11913,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,2_485.jpg,0,2,22,both
6740,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana_,1_230.jpg,1,7,49,both
7166,Seated_Forward_Bend_pose_or_Paschimottanasana_,85.jpg,1,7,52,both
11206,Yogic_sleep_pose,1_99.jpg,4,13,80,both
13095,Warrior_I_Pose_or_Virabhadrasana_I_,1_625.jpg,0,2,75,both
4696,Half_Moon_Pose_or_Ardha_Chandrasana_,191.jpg,0,2,31,both
11527,Chair_Pose_or_Utkatasana_,287.jpg,0,0,8,both
1186,Chair_Pose_or_Utkatasana_,523.jpg,0,0,8,both
4461,Gate_Pose_or_Parighasana_,440.jpg,0,2,29,both
3070,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_662.jpg,0,2,21,both
499,Bow_Pose_or_Dhanurasana_,66.jpg,5,19,4,both
333,Bound_Angle_Pose_or_Baddha_Konasana_,1_230.jpg,1,4,3,both
14400,Scorpion_pose_or_vrischikasana,1_2.jpg,3,12,51,both
12094,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana_,2_29.jpg,1,5,30,both
211,Boat_Pose_or_Paripurna_Navasana_,0_478.jpg,5,19,2,both
5798,Lord_of_the_Dance_Pose_or_Natarajasana_,362.jpg,0,3,39,both
8795,Standing_big_toe_hold_pose_or_Utthita_Padangusthasana,120.jpg,0,3,62,both
5880,Low_Lunge_pose_or_Anjaneyasana_,483.jpg,0,2,40,both
4172,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana_,0_504.jpg,4,16,26,both
13415,Cat_Cow_Pose_or_Marjaryasana_,2_578.jpg,5,18,7,both
3052,Extended_Puppy_Pose_or_Uttana_Shishosana_,66.jpg,4,14,20,both
7012,Scorpion_pose_or_vrischikasana,1_95.jpg,3,12,51,both
6151,Plank_Pose_or_Kumbhakasana_,85.jpg,4,16,44,both
1480,Child_Pose_or_Balasana_,565.jpg,4,14,9,both
11715,Crane_(Crow)_Pose_or_Bakasana_,1_356.jpg,2,9,14,both
9749,Tree_Pose_or_Vrksasana_,0_35.jpg,0,0,68,both
13944,Garland_Pose_or_Malasana_,105.jpg,1,4,28,both
6418,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II,1_58.jpg,2,10,46,both
13230,viparita_virabhadrasana_or_reverse_warrior_pose,316.jpg,0,2,81,both
549,Bow_Pose_or_Dhanurasana_,0_303.jpg,5,19,4,both
3138,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,3_142.jpg,0,2,21,both
517,Bow_Pose_or_Dhanurasana_,442.jpg,5,19,4,both
10924,Wide-Legged_Forward_Bend_pose_or_Prasarita_Padottanasana_,92.jpg,0,1,77,both
9330,Supta_Baddha_Konasana_,1_30.jpg,4,13,65,both
7346,Side-Reclining_Leg_Lift_pose_or_Anantasana_,8.jpg,4,15,54,both
2276,Cow_Face_Pose_or_Gomukhasana_,336.jpg,1,5,13,both
5895,Low_Lunge_pose_or_Anjaneyasana_,38.jpg,0,2,40,both
11760,Eagle_Pose_or_Garudasana_,24.jpg,0,0,18,both
13317,Bow_Pose_or_Dhanurasana_,562.jpg,5,19,4,both
7894,Sitting pose 1 (normal),1_521.jpg,1,4,57,both
7790,Sitting pose 1 (normal),3_258.jpg,1,4,57,both
10,Akarna_Dhanurasana,103.jpg,1,8,0,both
5851,Lord_of_the_Dance_Pose_or_Natarajasana_,2.jpg,0,3,39,both
