,YogaPoses,ImageNumbers,label of class_6,label of class_20,label of class_82,_merge
9645,Tree_Pose_or_Vrksasana_,310.jpg,0,0,68,both
5144,Head-to-Knee_Forward_Bend_pose_or_Janu_Sirsasana_,1_462.jpg,1,7,34,both
487,Bow_Pose_or_Dhanurasana_,319.jpg,5,19,4,both
5272,Intense_Side_Stretch_Pose_or_Parsvottanasana_,2.jpg,0,1,36,both
11181,Yogic_sleep_pose,2_126.jpg,4,13,80,both
10229,Virasana_or_Vajrasana,1_0_13.jpg,1,5,72,both
9619,Tree_Pose_or_Vrksasana_,128.jpg,0,0,68,both
6023,Noose_Pose_or_Pasasana_,103.jpg,1,4,41,both
6261,Plow_Pose_or_Halasana_,177.jpg,3,12,45,both
4407,Gate_Pose_or_Parighasana_,42.jpg,0,2,29,both
13639,Crane_(Crow)_Pose_or_Bakasana_,1_596.jpg,2,9,14,both
9623,Tree_Pose_or_Vrksasana_,113.jpg,0,0,68,both
290,Bound_Angle_Pose_or_Baddha_Konasana_,1_496.jpg,1,4,3,both
6375,Plow_Pose_or_Halasana_,0_464.jpg,3,12,45,both
8852,Supported_Headstand_pose_or_Salamba_Sirsasana_,414.jpg,3,11,63,both
12029,Frog_Pose_or_Bhekasana,1_146.jpg,4,14,27,both
9651,Tree_Pose_or_Vrksasana_,604.jpg,0,0,68,both
10249,Virasana_or_Vajrasana,2_307.jpg,1,5,72,both
8857,Supported_Headstand_pose_or_Salamba_Sirsasana_,444.jpg,3,11,63,both
11236,viparita_virabhadrasana_or_reverse_warrior_pose,46.jpg,0,2,81,both
14663,Standing_Forward_Bend_pose_or_Uttanasana_,1_42.jpg,0,1,60,both
7539,Side_Plank_Pose_or_Vasisthasana_,0_444.jpg,4,15,56,both
14832,Tortoise_Pose,1_6.jpg,1,7,67,both
5227,Heron_Pose_or_Krounchasana_,2_4.jpg,1,8,35,both
7375,Side_Crane_(Crow)_Pose_or_Parsva_Bakasana_,1_122.jpg,2,10,55,both
4806,Half_Moon_Pose_or_Ardha_Chandrasana_,0_421.jpg,0,2,31,both
6983,Scorpion_pose_or_vrischikasana,1_3.jpg,3,12,51,both
9424,Supta_Virasana_Vajrasana,3_124.jpg,4,13,66,both
5358,Legs-Up-the-Wall_Pose_or_Viparita_Karani_,186.jpg,3,11,37,both
15048,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana_,1_194.jpg,1,6,76,both
1321,Chair_Pose_or_Utkatasana_,42.jpg,0,0,8,both
11579,Cobra_Pose_or_Bhujangasana_,2_291.jpg,4,14,10,both
12266,Lord_of_the_Dance_Pose_or_Natarajasana_,35.jpg,0,3,39,both
7605,Side_Plank_Pose_or_Vasisthasana_,414.jpg,4,15,56,both
8658,Standing_Split_pose_or_Urdhva_Prasarita_Eka_Padasana_,1_162.jpg,0,3,61,both
13536,Cockerel_Pose,2_152.jpg,2,9,11,both
