,YogaPoses,ImageNumbers,label of class_6,label of class_20,label of class_82,_merge
0,Akarna_Dhanurasana,64.jpg,1,8,0,both
5,Akarna_Dhanurasana,121.jpg,1,8,0,both
7,Akarna_Dhanurasana,56.jpg,1,8,0,both
8,Akarna_Dhanurasana,200.jpg,1,8,0,both
9,Akarna_Dhanurasana,26.jpg,1,8,0,both
11,Akarna_Dhanurasana,17.jpg,1,8,0,both
12,Akarna_Dhanurasana,84.jpg,1,8,0,both
13,Akarna_Dhanurasana,111.jpg,1,8,0,both
14,Akarna_Dhanurasana,96.jpg,1,8,0,both
18,Akarna_Dhanurasana,73.jpg,1,8,0,both
24,Akarna_Dhanurasana,144.jpg,1,8,0,both
25,Akarna_Dhanurasana,129.jpg,1,8,0,both
28,Akarna_Dhanurasana,40.jpg,1,8,0,both
33,Akarna_Dhanurasana,2.jpg,1,8,0,both
34,Akarna_Dhanurasana,173.jpg,1,8,0,both
35,Akarna_Dhanurasana,434.jpg,1,8,0,both
38,Akarna_Dhanurasana,118.jpg,1,8,0,both
43,Akarna_Dhanurasana,12.jpg,1,8,0,both
45,Akarna_Dhanurasana,67.jpg,1,8,0,both
46,Akarna_Dhanurasana,104.jpg,1,8,0,both
47,Akarna_Dhanurasana,101.jpg,1,8,0,both
49,Akarna_Dhanurasana,10.jpg,1,8,0,both
55,Akarna_Dhanurasana,81.jpg,1,8,0,both
63,Akarna_Dhanurasana,28.jpg,1,8,0,both
65,Akarna_Dhanurasana,19.jpg,1,8,0,both
69,Akarna_Dhanurasana,146.jpg,1,8,0,both
70,Akarna_Dhanurasana,9.jpg,1,8,0,both
74,Akarna_Dhanurasana,79.jpg,1,8,0,both
78,Akarna_Dhanurasana,6.jpg,1,8,0,both
79,Akarna_Dhanurasana,58.jpg,1,8,0,both
81,Akarna_Dhanurasana,0_305.jpg,1,8,0,both
82,Akarna_Dhanurasana,106.jpg,1,8,0,both
84,Akarna_Dhanurasana,61.jpg,1,8,0,both
89,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,324.jpg,1,5,1,both
