,YogaPoses,ImageNumbers,label of class_6,label of class_20,label of class_82,_merge
2,Akarna_Dhanurasana,263.jpg,1,8,0,both
3732,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,473.jpg,1,5,1,both
3750,Boat_Pose_or_Paripurna_Navasana_,470.jpg,5,19,2,both
3815,Bound_Angle_Pose_or_Baddha_Konasana_,2_236.jpg,1,4,3,both
3873,Bow_Pose_or_Dhanurasana_,299.jpg,5,19,4,both
216,Bridge_Pose_or_Setu_Bandha_Sarvangasana_,17.jpg,5,17,5,both
4000,Camel_Pose_or_Ustrasana_,69.jpg,5,17,6,both
4032,Cat_Cow_Pose_or_Marjaryasana_,2_225.jpg,5,18,7,both
4127,Chair_Pose_or_Utkatasana_,332.jpg,0,0,8,both
4169,Child_Pose_or_Balasana_,558.jpg,4,14,9,both
4275,Cobra_Pose_or_Bhujangasana_,3_21.jpg,4,14,10,both
669,Cockerel_Pose,4_70.jpg,2,9,11,both
709,Corpse_Pose_or_Savasana_,318.jpg,4,13,12,both
753,Cow_Face_Pose_or_Gomukhasana_,31.jpg,1,5,13,both
4522,Crane_(Crow)_Pose_or_Bakasana_,1_292.jpg,2,9,14,both
4568,Dolphin_Plank_Pose_or_Makara_Adho_Mukha_Svanasana_,36.jpg,4,16,15,both
4580,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,13.jpg,0,1,16,both
875,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana_,250.jpg,0,1,17,both
923,Eagle_Pose_or_Garudasana_,332.jpg,0,0,18,both
997,Eight-Angle_Pose_or_Astavakrasana_,239.jpg,2,10,19,both
4746,Extended_Puppy_Pose_or_Uttana_Shishosana_,39.jpg,4,14,20,both
4805,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_470.jpg,0,2,21,both
1143,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_250.jpg,0,2,22,both
1275,Feathered_Peacock_Pose_or_Pincha_Mayurasana_,1_301.jpg,3,11,23,both
5015,Firefly_Pose_or_Tittibhasana_,5.jpg,2,9,24,both
1338,Fish_Pose_or_Matsyasana_,189.jpg,4,13,25,both
1391,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana_,482.jpg,4,16,26,both
1427,Frog_Pose_or_Bhekasana,1_289.jpg,4,14,27,both
5195,Garland_Pose_or_Malasana_,517.jpg,1,4,28,both
1521,Gate_Pose_or_Parighasana_,124.jpg,0,2,29,both
1561,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana_,1_497.jpg,1,5,30,both
1592,Half_Moon_Pose_or_Ardha_Chandrasana_,267.jpg,0,2,31,both
5365,Handstand_pose_or_Adho_Mukha_Vrksasana_,244.jpg,3,11,32,both
5403,Happy_Baby_Pose_or_Ananda_Balasana_,74.jpg,4,13,33,both
5427,Head-to-Knee_Forward_Bend_pose_or_Janu_Sirsasana_,1_556.jpg,1,7,34,both
5476,Heron_Pose_or_Krounchasana_,2_16.jpg,1,8,35,both
5502,Intense_Side_Stretch_Pose_or_Parsvottanasana_,133.jpg,0,1,36,both
1827,Legs-Up-the-Wall_Pose_or_Viparita_Karani_,180.jpg,3,11,37,both
1852,Locust_Pose_or_Salabhasana_,342.jpg,4,14,38,both
5627,Lord_of_the_Dance_Pose_or_Natarajasana_,437.jpg,0,3,39,both
1998,Low_Lunge_pose_or_Anjaneyasana_,223.jpg,0,2,40,both
2013,Noose_Pose_or_Pasasana_,165.jpg,1,4,41,both
2018,Peacock_Pose_or_Mayurasana_,107.jpg,4,16,42,both
2055,Pigeon_Pose_or_Kapotasana_,36.jpg,5,17,43,both
2067,Plank_Pose_or_Kumbhakasana_,299.jpg,4,16,44,both
2113,Plow_Pose_or_Halasana_,362.jpg,3,12,45,both
5869,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II,1_35.jpg,2,10,46,both
2190,Rajakapotasana,390.jpg,1,8,47,both
2204,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana_,8.jpg,4,13,48,both
5996,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana_,1_45.jpg,1,7,49,both
6001,Scale_Pose_or_Tolasana_,1_4.jpg,2,9,50,both
6030,Scorpion_pose_or_vrischikasana,3_289.jpg,3,12,51,both
6107,Seated_Forward_Bend_pose_or_Paschimottanasana_,334.jpg,1,7,52,both
2399,Shoulder-Pressing_Pose_or_Bhujapidasana_,98.jpg,2,9,53,both
2409,Side-Reclining_Leg_Lift_pose_or_Anantasana_,116.jpg,4,15,54,both
2430,Side_Crane_(Crow)_Pose_or_Parsva_Bakasana_,1_88.jpg,2,10,55,both
2506,Side_Plank_Pose_or_Vasisthasana_,223.jpg,4,15,56,both
2600,Sitting pose 1 (normal),1_540.jpg,1,4,57,both
2677,Split pose,1_586.jpg,1,6,58,both
2694,Staff_Pose_or_Dandasana_,454.jpg,1,4,59,both
6497,Standing_Forward_Bend_pose_or_Uttanasana_,1_38.jpg,0,1,60,both
2814,Standing_Split_pose_or_Urdhva_Prasarita_Eka_Padasana_,1_404.jpg,0,3,61,both
6553,Standing_big_toe_hold_pose_or_Utthita_Padangusthasana,194.jpg,0,3,62,both
2891,Supported_Headstand_pose_or_Salamba_Sirsasana_,545.jpg,3,11,63,both
6684,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana_,2_296.jpg,3,11,64,both
2961,Supta_Baddha_Konasana_,1_557.jpg,4,13,65,both
3067,Supta_Virasana_Vajrasana,1_79.jpg,4,13,66,both
3086,Tortoise_Pose,1_98.jpg,1,7,67,both
6862,Tree_Pose_or_Vrksasana_,16.jpg,0,0,68,both
6941,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana_,421.jpg,5,17,69,both
6975,Upward_Facing_Two-Foot_Staff_Pose_or_Dwi_Pada_Viparita_Dandasana_,441.jpg,5,17,70,both
3269,Upward_Plank_Pose_or_Purvottanasana_,569.jpg,5,17,71,both
7035,Virasana_or_Vajrasana,2_261.jpg,1,5,72,both
7102,Warrior_III_Pose_or_Virabhadrasana_III_,177.jpg,0,3,73,both
3435,Warrior_II_Pose_or_Virabhadrasana_II_,31.jpg,0,3,74,both
7195,Warrior_I_Pose_or_Virabhadrasana_I_,1_7.jpg,0,2,75,both
7241,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana_,2_184.jpg,1,6,76,both
3542,Wide-Legged_Forward_Bend_pose_or_Prasarita_Padottanasana_,660.jpg,0,1,77,both
7362,Wild_Thing_pose_or_Camatkarasana_,271.jpg,5,17,78,both
3631,Wind_Relieving_pose_or_Pawanmuktasana,84.jpg,4,13,79,both
7406,Yogic_sleep_pose,1_16.jpg,4,13,80,both
3698,viparita_virabhadrasana_or_reverse_warrior_pose,500.jpg,0,2,81,both
